SKU,Name1,Name2
ST7x520240519_092121_DO NOT LET THE CAT OUT NO MATTER WHAT IT TELLS YOU,DO NOT LET THE CAT OUT NO,MATTER WHAT IT TELLS YOU
ST7x520240519_092123_DONT FOLLOW ME IM ALSO LOST,DON'T FOLLOW ME,I'M ALSO LOST
ST7x520240519_092128_NOBODY PUTS BABY IN A CORNER,NOBODY PUTS BABY,IN A CORNER
ST7x520240519_092129_DO WHAT MAKES YOUR SOUL HAPPY,DO WHAT MAKES,YOUR SOUL HAPPY
ST7x520240519_092130_WORLDS OKAYEST DISC GOLF PLAYER,WORLD'S OKAYEST,DISC GOLF PLAYER
ST7x520240519_092135_JUST A BOY WHO LOVES BASKETBALL,JUST A BOY WHO,LOVES BASKETBALL
ST7x520240519_092137_ARE YOU ALIVE OR JUST EXISTING,ARE YOU ALIVE OR,JUST EXISTING?
ST7x520240519_092147_MAKE MY COFFEE ICY AND MY BOOKS SPICY,MAKE MY COFFEE ICY,AND MY BOOKS SPICY
ST7x520240519_092155_THIS IS WHAT AWESOME LOOKS LIKE,THIS IS WHAT,AWESOME LOOKS LIKE
ST7x520240519_092156_GOOD THINGS ARE AHEAD,GOOD THINGS,ARE AHEAD
ST7x520240519_092157_FROM BLOOD AND ASH WE WILL RISE,FROM BLOOD AND ASH,- WE WILL RISE
ST7x520240519_092158_LITTLE BY LITTLE ONE TRAVELS FAR,LITTLE BY LITTLE,ONE TRAVELS FAR
ST7x520240519_092200_JUST A GIRL WHO LOVES SLOTHS,JUST A GIRL WHO,LOVES SLOTHS
ST7x520240519_092201_I AM ONLY TALKING TO MY LEOPARD GECKO TODAY,I AM ONLY TALKING TO MY,LEOPARD GECKO TODAY
ST7x520240519_092202_THOUGHTS ARE NOT FACTS,THOUGHTS ARE,NOT FACTS
ST7x520240519_092203_NEVER STOP DREAMING,NEVER STOP,DREAMING
ST7x520240519_092205_ON THE ROAD AGAIN,ON THE,ROAD AGAIN
ST7x520240519_092211_DONT MAKE ME USE MY TENNIS VOICE,DON'T MAKE ME USE,MY TENNIS VOICE
ST7x520240519_092212_DONT FORGET THE HAPPY THOUGHTS,DON'T FORGET THE,HAPPY THOUGHTS
ST7x520240519_092214_EVERYTHING WILL BE OKAY,EVERYTHING,WILL BE OKAY
