SKU,Name1,Name2
ST7x520240501_125536_I HAVE TO RETURN SOME VIDEO TAPES,I HAVE TO RETURN,SOME VIDEO TAPES
ST7x520240501_125537_I BECAME A POSTAL WORKER FOR THE MONEY AND FAME,I BECAME A POSTAL WORKER,FOR THE MONEY AND FAME
ST7x520240501_125538_YOURE A DAISY IF YOU DO,YOU'RE A DAISY,IF YOU DO
ST7x520240501_125539_NO ONES TREADING ON YOU SWEETIE,NO ONE'S TREADING,ON YOU SWEETIE
ST7x520240501_125540_DONT BELIEVE EVERYTHING YOU THINK,DON'T BELIEVE,EVERYTHING YOU THINK
ST7x520240501_125541_DRIVER PICKS THE MUSIC SHOTGUN SHUTS HIS CAKEHOLE,DRIVER PICKS THE MUSIC,SHOTGUN SHUTS HIS CAKEHOLE
ST7x520240501_125542_STOP SCREAMING IM SCARED TOO,STOP SCREAMING,I'M SCARED TOO!
ST7x520240501_125543_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST7x520240501_125544_IF YOU HONK AT ME I WILL KILL MYSELF,IF YOU HONK AT ME I,WILL KILL MYSELF
ST7x520240501_125545_IF NOT NOW THEN WHEN,IF NOT NOW,THEN WHEN
ST7x520240501_125546_PLEASE BE PATIENT I'M LEGALLY BLIND,PLEASE BE PATIENT,I'M LEGALLY BLIND
ST7x520240501_125547_TRASH CAN NOT TRASH CANNOT,"TRASH CAN, NOT",TRASH CANNOT
ST7x520240501_125548_THIS IS MY PRIDE FLAG,THIS IS MY,PRIDE FLAG
ST7x520240501_125549_DONT HONK AT ME IM CRYING ALREADY,DON'T HONK AT ME,I'M CRYING ALREADY
ST7x520240501_125550_I HAVE TO RETURN SOME VIDEO TAPES,I HAVE TO RETURN,SOME VIDEO TAPES
ST7x520240501_125551_NO WIFE HAPPY LIFE,NO WIFE,HAPPY LIFE
ST7x520240501_125552_I DONT KNOW I JUST WORK HERE,I DON'T KNOW I,JUST WORK HERE
ST7x520240501_125553_BLOOD FOR THE BLOOD GOD,BLOOD FOR THE,BLOOD GOD
ST7x520240501_125554_DONT HONK AT ME MY TUMMY HURTS,DON'T HONK AT ME,MY TUMMY HURTS
ST7x520240501_125555_FROM BLOOD AND ASH WE WILL RISE,FROM BLOOD AND,"ASH, WE WILL RISE"
