SKU,Name1,Name2
ST20240522_074343_BIDENFLATION THE COST OF VOTING STUPID,BIDENFLATION THE COST,OF VOTING STUPID
ST20240522_074344_BIDEN PAY MORE LIVE WORSE,BIDEN! PAY MORE,LIVE WORSE
ST20240522_074345_THE BIDEN CORRUPTION IS TREASON,THE BIDEN,CORRUPTION IS TREASON
ST20240522_074346_JOE BIDEN IS JUST HILLARY CLINTON WITH A SMALLER DICK,JOE BIDEN IS JUST HILLARY,CLINTON WITH A SMALLER DICK
ST20240522_074347_BIDEN IS AN IDIOT,BIDEN IS,AN IDIOT
ST20240522_074348_THIS IS WHAT HAPPENS WHEN YOU ORDER A PRESIDENT THROUGH THE MAIL,THIS IS WHAT HAPPENS WHEN YOU,ORDER A PRESIDENT THROUGH THE MAIL
ST20240522_074349_YOUR MASK IS AS USELESS AS JOE BIDEN,YOUR MASK IS AS,USELESS AS JOE BIDEN
ST20240522_074351_MY DOG IS SMARTER THAN JOE BIDEN,MY DOG IS SMARTER,THAN JOE BIDEN
ST20240522_074352_WILL YOU SHUT UP MAN,WILL YOU SHUT,"UP, MAN?"
ST20240522_074353_VOTE ITS IMPORTANT,VOTE! IT'S,IMPORTANT
ST20240522_074354_WERE NOT PERFECT BUT THEYRE NUTS,WE'RE NOT PERFECT,BUT THEY'RE NUTS!
ST20240522_074355_I WANT REPARATIONS FROM EVERY BIDEN VOTER,I WANT REPARATIONS,FROM EVERY BIDEN VOTER
ST20240522_074356_IM AN AMERICAN I WANT MY COUNTRY,I'M AN AMERICAN I,WANT MY COUNTRY
ST20240522_074357_DOES NOT PLAY WELL WITH LIBERALS,DOES NOT PLAY WELL,WITH LIBERALS
ST20240522_074358_WARNING DOES NOT PLAY WELL WITH OTHERS,WARNING DOES NOT PLAY,WELL WITH OTHERS
ST20240522_074359_PRO AMERICA ANTI DEMOCRAT,PRO AMERICA,ANTI DEMOCRAT
ST20240522_074400_DONT BLAME ME I VOTED FOR TRUMP,DON'T BLAME ME I,VOTED FOR TRUMP
ST20240522_074401_AGAINST ALL ENEMIES FOREIGN AND DEMOCRAT,"AGAINST ALL ENEMIES,",FOREIGN AND DEMOCRAT
ST20240522_074402_AMERICAN OR DEMOCRAT,AMERICAN OR,DEMOCRAT
ST20240522_074403_ARE YOU AMERICAN OR DEMOCRAT,ARE YOU AMERICAN,OR DEMOCRAT
ST20240522_074404_JUST ANOTHER REPUBLICAN WORKING HARD SO YOU DONT HAVE TO,JUST ANOTHER REPUBLICAN,WORKING HARD SO YOU DON'T HAVE TO
ST20240522_074405_PROUD TO BE EVERYTHING A REPUBLICAN HATES,PROUD TO BE EVERYTHING,A REPUBLICAN HATES
ST20240522_074406_PROUD TO BE A REPUBLICAN,PROUD TO BE A,REPUBLICAN
ST20240522_074407_PROUD TO BE EVERYTHING A LIBERAL HATES,PROUD TO BE,EVERYTHING A LIBERAL HATES
ST20240522_074408_REPUBLICAN BECAUSE NOT EVERYONE CAN BE ON WELFARE,REPUBLICAN BECAUSE NOT,EVERYONE CAN BE ON WELFARE
ST20240522_074409_EVIL IS POWERLESS IF THE GOOD ARE UNAFRAID,EVIL IS POWERLESS IF,THE GOOD ARE UNAFRAID
ST20240522_074410_GOVERNMENT IS NOT THE SOLUTION GOVERNMENT IS THE PROBLEM,GOVERNMENT IS NOT THE SOLUTION,GOVERNMENT IS THE PROBLEM
ST20240522_074411_A NATION THAT CANNOT CONTROL ITS BORDERS IS NOT A NATION,A NATION THAT CANNOT CONTROL,ITS BORDERS IS NOT A NATION
ST20240522_074412_THE AMERICAN DREAM IS NOT A HANDOUT,THE AMERICAN DREAM,IS NOT A HANDOUT
ST20240522_074413_GOVERMENTS FIRST DUTY IS TO PROTECT THE PEOPLE NOT RUN THEIR LIVES,GOVERMENT'S FIRST DUTY IS TO,PROTECT THE PEOPLE NOT RUN THEIR LIVES
ST20240522_074414_I BELIEVE THE BEST SOCIAL PROGRAM IS A JOB,I BELIEVE THE BEST,SOCIAL PROGRAM IS A JOB
ST20240522_074415_THE PROBLEM WITH JOKES IS THEY GET ELECTED,THE PROBLEM WITH JOKES,IS THEY GET ELECTED
ST20240522_074416_THE PROBLEM WITH POLITICAL JOKES IS THEY GET ELECTED,THE PROBLEM WITH POLITICAL,JOKES IS THEY GET ELECTED
ST20240522_074417_WORK HARD MILLIONS ON WELFARE DEPEND YOU,WORK HARD MILLIONS ON,WELFARE DEPEND YOU
ST20240522_074418_DONT BLAME ME I VOTED REPUBLICAN,"DON'T BLAME ME, I",VOTED REPUBLICAN
