SKU,Name1,Name2
ST7x520240430_160604_BE MESSY COMPLICATED AND AFRAID SHOW UP ANYWAY,BE MESSY COMPLICATED AND,AFRAID SHOW UP ANYWAY
ST7x520240430_160605_WORLDS OKAYEST REFEREE,WORLD'S,OKAYEST REFEREE
ST7x520240430_160606_GOOD FRIENDS DONT LET YOU DO STUPID THINGS ALONE,GOOD FRIENDS DON'T LET YOU,DO STUPID THINGS ALONE
ST7x520240430_160607_SHES GOT A BOOK FOR EVERY SITUATION,SHE'S GOT A BOOK FOR,EVERY SITUATION
ST7x520240430_160608_I'M PROBABLY ONLINE SHOPPING,I'M PROBABLY,ONLINE SHOPPING
ST7x520240430_160609_I BECAME A WINDOW CLEANER FOR THE MONEY AND FAME,I BECAME A WINDOW CLEANER,FOR THE MONEY AND FAME
ST7x520240430_160610_IM THE YOUNGEST CHILD,I'M THE,YOUNGEST CHILD
ST7x520240430_160611_DONT BE A DICK,DON'T BE,A DICK
ST7x520240430_160612_ONLY YOU CAN DECIDE WHAT BREAKS YOU,ONLY YOU CAN DECIDE,WHAT BREAKS YOU
ST7x520240430_160613_WORLDS OKAYEST WITCH,WORLD'S,OKAYEST WITCH
ST7x520240430_160614_JUST A GIRL WHO LOVES JOURNALING,JUST A GIRL WHO,LOVES JOURNALING
ST7x520240430_160615_LIFE IS TOUGH BUT SO ARE YOU,LIFE IS TOUGH,BUT SO ARE YOU
ST7x520240430_160616_TELL YOUR DOG I SAID HI,TELL YOUR DOG,I SAID HI
ST7x520240430_160617_JUST FOUND OUT THE WORLD DOESNT REVOLVE AROUND ME,JUST FOUND OUT THE WORLD,DOESN'T REVOLVE AROUND ME
ST7x520240430_160618_DONT MAKE ME USE MY DRAMA TEACHER VOICE,DON'T MAKE ME USE MY,DRAMA TEACHER VOICE
ST7x520240430_160619_JUST A GIRL WHO LOVES OLIVES,JUST A GIRL WHO,LOVES OLIVES
ST7x520240430_160620_BE THE FULLEST VERSION OF YOU,BE THE FULLEST,VERSION OF YOU
ST7x520240430_160621_THE ONLY WAY OUT IS THROUGH,THE ONLY WAY,OUT IS THROUGH
ST7x520240430_160622_I RUN BECAUSE I REALLY LIKE PIZZA,I RUN BECAUSE I,REALLY LIKE PIZZA
ST7x520240430_160623_WORLDS OKAYEST PLUMBER,WORLD'S,OKAYEST PLUMBER
ST7x520240430_160624_WORLDS OKAYEST PIPEFITTER,WORLD'S OKAYEST,PIPEFITTER
