SKU,Name1,Name2
ST20240519_155303_HOLD MY DRINK I GOTTA PET THIS DOG,HOLD MY DRINK I,GOTTA PET THIS DOG
ST20240519_155304_CAN I PET THAT DOG,CAN I PET,THAT DOG?
ST20240519_155305_PLEASE DONT PET ME IM WORKING,PLEASE DON'T PET,ME I'M WORKING
ST20240519_155306_I JUST WANT TO DRINK COFFEE AND PET MY DOG,I JUST WANT TO DRINK,COFFEE AND PET MY DOG
ST20240519_155307_IF I CANT BRING MY CAT IM NOT GOING,IF I CAN'T BRING MY,CAT I'M NOT GOING
ST20240519_155308_LIFE GOAL PET ALL THE DOGS,LIFE GOAL PET,ALL THE DOGS
ST20240519_155309_I LOVE MY GRAND DOG,I LOVE MY,GRAND DOG
ST20240519_155310_LOVE YOUR MOTHER,LOVE YOUR,MOTHER
ST20240519_155311_PLEASE DONT HONK IM SENSITIVE,PLEASE DON'T HONK,I'M SENSITIVE
ST20240519_155312_LET ME MERGE IM ON 3 ANTI ANXIETY PILLS,LET ME MERGE I'M ON 3,ANTI ANXIETY PILLS
ST20240519_155313_DONT HONK AT ME IM HAVING A CRISIS,DON'T HONK AT ME I'M,HAVING A CRISIS
ST20240519_155314_PLEASE DONT HONK AT ME ILL CRY,PLEASE DON'T HONK,AT ME I'LL CRY
ST20240519_155315_DONT HONK AT ME MY MOM IS DEAD,DON'T HONK AT ME,MY MOM IS DEAD
ST20240519_155316_JESUS WOULD LET ME MERGE,JESUS WOULD,LET ME MERGE
ST20240519_155317_SMILE JESUS LOVES YOU,SMILE! JESUS,LOVES YOU
ST20240519_155318_NORMAL ISNT COMING BACK JESUS IS,NORMAL ISN'T,COMING BACK JESUS IS
ST20240519_155319_TO THE STARS WHO LISTEN AND THE DREAMS THAT ARE ANSWERED,TO THE STARS WHO LISTEN AND,THE DREAMS THAT ARE ANSWERED
ST20240519_155322_IF YOU ARE LOOKING FOR A SIGN TO STAY ALIVE THIS IS IT,IF YOU ARE LOOKING FOR A SIGN,TO STAY ALIVE THIS IS IT
ST20240519_155323_I CRY A LOT BUT I AM SO PRODUCTIVE,I CRY A LOT BUT I,AM SO PRODUCTIVE
ST20240519_155324_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240519_155325_ALL GOOD THINGS ARE WILD AND FREE,ALL GOOD THINGS,ARE WILD AND FREE
ST20240519_155326_REMEMBER WHO YOU WANTED TO BE,REMEMBER WHO YOU,WANTED TO BE
ST20240519_155327_YOU CAN GO FAST BUT I CAN GO ANYWHERE,YOU CAN GO FAST BUT,I CAN GO ANYWHERE
ST20240519_155329_NO RAIN NO FLOWERS,"NO RAIN, NO",FLOWERS
ST20240519_155330_KNOWLEDGE IS POWER BUMPER,KNOWLEDGE, IS POWER
