SKU,Name1,Name2
ST20240517_043338_PREVENT ACCIDENTS KEEP YOUR MOUTH SHUT,PREVENT ACCIDENTS,KEEP YOUR MOUTH SHUT
ST20240517_043339_I LOVE THE SOUND YOU MAKE WHEN YOU SHUT UP,I LOVE THE SOUND YOU,MAKE WHEN YOU SHUT UP
ST20240517_043340_SHUT UP I FUCKING GOT THIS,SHUT UP! I,FUCKING GOT THIS
ST20240517_043341_I WONT BE REMEMBERED AS A WOMAN WHO KEPT HER MOUTH SHUT,I WON'T BE REMEMBERED AS A,WOMAN WHO KEPT HER MOUTH SHUT
ST20240517_043342_KEEP RIGHT EXCEPT TO PASS,KEEP RIGHT,EXCEPT TO PASS
ST20240517_043343_D RIGHT PASS LEFT,D RIGHT,PASS LEFT
ST20240517_043344_GO AROUND ME I LEFT ON TIME,GO AROUND ME I,LEFT ON TIME
ST20240517_043345_GO AHEAD AND PASS ME ILL SEE YOU AT THE NEXT LIGHT,GO AHEAD AND PASS ME I'LL,SEE YOU AT THE NEXT LIGHT
