SKU,Name1,Name2
ST7x520240430_090356_DONT LET THE BASTARDS GRIND YOU DOWN,DON'T LET THE,BASTARDS GRIND YOU DOWN
ST7x520240430_090357_DONT HASSLE ME IM LOCAL,DON'T HASSLE,"ME, I'M LOCAL"
ST7x520240430_090358_YOU CAN NEVER HAVE TOO MANY CLAMPS,YOU CAN NEVER HAVE,TOO MANY CLAMPS
ST7x520240430_090359_I RUN BECAUSE I LOVE BACON,I RUN BECAUSE I,LOVE BACON
ST7x520240430_090400_NEVER TRUST THE LIVING,NEVER TRUST,THE LIVING
ST7x520240430_090401_ENGLISH IS IMPORTANT BUT ECONOMICS IS IMPORTANTER,ENGLISH IS IMPORTANT BUT,ECONOMICS IS IMPORTANTER
ST7x520240430_090402_MONEY DOESNT BUY HAPPINESS,MONEY DOESNT,BUY HAPPINESS
ST7x520240430_090403_I AM WITH YOU ALWAYS,I AM WITH,YOU ALWAYS
ST7x520240430_090404_NEVER BE SO KIND YOU FORGET TO BE CLEVER,NEVER BE SO KIND YOU,FORGET TO BE CLEVER
ST7x520240430_090405_IM SO SICK OF CONGRESS,I'M SO SICK,OF CONGRESS
ST7x520240430_090406_WORLDS OKAYEST MOTHER,WORLD'S,OKAYEST MOTHER
ST7x520240430_090407_BELIEVE IN YOURSELF,BELIEVE IN,YOURSELF
ST7x520240430_090408_I PAINT BECAUSE PUNCHING PEOPLE IS FROWNED UPON,I PAINT BECAUSE PUNCHING,PEOPLE IS FROWNED UPON
ST7x520240430_090409_WATER OFF A DUCKS BACK,WATER OFF A,DUCK'S BACK
ST7x520240430_090410_DONT LET THE HARD DAYS WIN,DON'T LET THE,HARD DAYS WIN
ST7x520240430_090411_JUST A BOY WHO LOVES FIRE TRUCKS,JUST A BOY WHO,LOVES FIRE TRUCKS
ST7x520240430_090412_BE GOOD TO YOURSELF,BE GOOD TO,YOURSELF
ST7x520240430_090413_PEACE WAS NEVER AN OPTION,PEACE WAS,NEVER AN OPTION
ST7x520240430_090414_DONT YOU DARE SETTLE FOR FINE,DON'T YOU DARE,SETTLE FOR FINE
ST7x520240430_090415_WORLDS OKAYEST ORTHOPEDIC NURSE,WORLD'S OKAYEST,ORTHOPEDIC NURSE
ST7x520240430_090416_JUST A BOY WHO LOVES HIS MAMA,JUST A BOY WHO,LOVES HIS MAMA
ST7x520240430_090417_YOURE JUST AS SANE AS I AM,YOU'RE JUST AS,SANE AS I AM
ST7x520240430_090418_WORLDS OKAYEST HUSBAND,WORLD'S,OKAYEST HUSBAND
ST7x520240430_090419_I HAVE NO IDEA WHAT IM DOING,I HAVE NO IDEA,WHAT I'M DOING
ST7x520240430_090420_I BECAME A SANITATION WORKER FOR THE MONEY AND FAME,I BECAME A SANITATION,WORKER FOR THE MONEY AND FAME
ST7x520240430_090421_YOU JUST GOT PASSED BY A BITCH,YOU JUST GOT,PASSED BY A BITCH
ST7x520240430_090422_PLEASE BE PATIENT I HAVE CHRONIC PAIN,PLEASE BE PATIENT I,HAVE CHRONIC PAIN
ST7x520240430_090423_PLEASE BE PATIENT I AM 4 YEARS OLD,PLEASE BE PATIENT I,AM 4 YEARS OLD
ST7x520240430_090424_WORLDS OKAYEST CAT MUM,WORLD'S,OKAYEST CAT MUM
ST7x520240430_090425_DONT STOP UNTIL YOU ARE PROUD,DONT STOP UNTIL,YOU ARE PROUD
ST7x520240430_090426_JUST A GIRL WHO LOVES PICKLES,JUST A GIRL WHO,LOVES PICKLES
ST7x520240430_090427_EXIT PURSUED BY A BEAR,"EXIT, PURSUED",BY A BEAR
ST7x520240430_090428_YOU CAN NEVER HAVE TOO MANY GIRLFRIENDS,YOU CAN NEVER HAVE,TOO MANY GIRLFRIENDS
ST7x520240430_090429_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
ST7x520240430_090430_JUST A BOY WHO LOVES CHICKEN,JUST A BOY WHO,LOVES CHICKEN
ST7x520240430_090431_FIRST I DRINK THE COFFEE,FIRST I DRINK,THE COFFEE
ST7x520240430_090432_SHE IS CLOTHED WITH DIGNITY AND STRENGTH,SHE IS CLOTHED WITH,DIGNITY AND STRENGTH
ST7x520240430_090433_I BECAME A TEMP WORKER FOR THE MONEY AND FAME,I BECAME A TEMP WORKER,FOR THE MONEY AND FAME
ST7x520240430_090434_YOU CAN NEVER HAVE TOO MANY CORNETS,YOU CAN NEVER HAVE,TOO MANY CORNETS
ST7x520240430_090435_WORLDS OKAYEST MEDICAL STUDENT,WORLD'S OKAYEST,MEDICAL STUDENT
ST7x520240430_090436_WORLDS OKAYEST SALE REPRESENTATIVE,WORLD'S OKAYEST,SALE REPRESENTATIVE
ST7x520240430_090437_YOU AINT COOL UNLESS YOU PEE YOUR PANTS,YOU AINT COOL UNLESS,YOU PEE YOUR PANTS
ST7x520240430_090438_LIFE HAPPENS COFFEE HELPS,"LIFE HAPPENS,",COFFEE HELPS
ST7x520240430_090439_LET GO AND LET GOD,LET GO AND,LET GOD
ST7x520240430_090440_I BECAME A WAREHOUSE PACKER FOR THE MONEY AND FAME,I BECAME A WAREHOUSE PACKER,FOR THE MONEY AND FAME
ST7x520240430_090441_WORLDS OKAYEST FRIEND,WORLD'S,OKAYEST FRIEND
ST7x520240430_090442_WORLDS OKAYEST GRANDPA,WORLD'S,OKAYEST GRANDPA
ST7x520240430_090443_PLEASE BE PATIENT I AM GRANDMA,PLEASE BE PATIENT,I AM GRANDMA
ST7x520240430_090444_HARD WORK BEATS TALENT,HARD WORK,BEATS TALENT
ST7x520240430_090445_DONT MAKE ME USE MY GRANDMA VOICE,DON'T MAKE ME USE,MY GRANDMA VOICE
ST7x520240430_090446_COFFEE BECAUSE MURDER IS WRONG,COFFEE BECAUSE,MURDER IS WRONG
ST7x520240430_090447_WORLDS OKAYEST SINGER,WORLD'S,OKAYEST SINGER
ST7x520240430_090448_JUST A BOY WHO LOVES SUNSHINE,JUST A BOY WHO,LOVES SUNSHINE
ST7x520240430_090449_BE THE WHOLE PROBLEM,BE THE WHOLE,PROBLEM
ST7x520240430_090450_WORLDS OKAYEST TEACHER,WORLD'S,OKAYEST TEACHER
ST7x520240430_090451_EVERY LOVE STORY IS BEAUTIFUL BUT OURS IS MY FAVORITE,EVERY LOVE STORY IS,"BEAUTIFUL, BUT OURS IS MY FAVORITE"
ST7x520240430_090452_COMPARISON IS THE THIEF OF JOY,COMPARISON IS THE,THIEF OF JOY
ST7x520240430_090453_WORLDS OKAYEST FLORIST,WORLD'S,OKAYEST FLORIST
ST7x520240430_090454_JUST A GIRL WHO LOVES SHRIMP,JUST A GIRL WHO,LOVES SHRIMP
ST7x520240430_090455_DONT HONK AT ME IF YOU DONT EXIST,DON'T HONK AT ME IF,YOU DON'T EXIST
ST7x520240430_090456_WORLDS OKAYEST UNCLE,WORLD'S,OKAYEST UNCLE
ST7x520240430_090457_SORRY FOR SPEEDING I NEED TO GET HOME TO MY CAT,SORRY FOR SPEEDING I NEED,TO GET HOME TO MY CAT
ST7x520240430_090458_DATA OR IT DIDNT HAPPEN,DATA OR IT,DIDN'T HAPPEN
ST7x520240430_090459_DONT MAKE ME USE MY DRAGON VOICE,DON'T MAKE ME USE,MY DRAGON VOICE
ST7x520240430_090500_OPEN YOUR MIND BEFORE YOUR MOUTH,OPEN YOUR MIND,BEFORE YOUR MOUTH
ST7x520240430_090501_DONT BE LIKE THE REST OF THEM DARLING,DON'T BE LIKE THE,REST OF THEM DARLING
ST7x520240430_090502_WRITE HARD AND CLEAR ABOUT WHAT HURTS,WRITE HARD AND CLEAR,ABOUT WHAT HURTS
ST7x520240430_090503_WHAT A LONG STRANGE TRIP ITS BEEN,WHAT A LONG STRANGE,TRIP IT'S BEEN
ST7x520240430_090504_I LIKE YOUR SPARK,I LIKE,YOUR SPARK
