SKU,Name1,Name2
ST20240517_203036_MINDSET IS EVERYTHING,MINDSET IS,EVERYTHING
ST20240517_203037_SHUT UP AND FISH,SHUT UP,AND FISH
ST20240517_203038_BE THE PERSON YOU WANT TO WORK WITH,BE THE PERSON YOU,WANT TO WORK WITH
ST20240517_203039_CHANGE YOUR THOUGHTS AND YOULL CHANGE YOUR WORLD,CHANGE YOUR THOUGHTS AND,YOU'LL CHANGE YOUR WORLD
ST20240517_203040_IM NOT HERE TO BE AVERAGE IM HERE TO BE AWESOME,"I'M NOT HERE TO BE AVERAGE,",I'M HERE TO BE AWESOME
ST20240517_203041_ID RATHER BE HERE NOW,I'D RATHER BE,HERE NOW
ST20240517_203042_NEVER FORGET HOW WILDLY CAPABLE YOU ARE,NEVER FORGET HOW,WILDLY CAPABLE YOU ARE
ST20240517_203043_YOU NEVER FAIL UNTIL YOU STOP TRYING,YOU NEVER FAIL UNTIL,YOU STOP TRYING
ST20240517_203044_BE AMAZING TODAY,BE AMAZING,TODAY
ST20240517_203045_TIME IS NOT MEASURED BY CLOCKS BUT BY MOMENTS,TIME IS NOT MEASURED BY,CLOCKS BUT BY MOMENTS
ST20240517_203046_WAKE UP KICK ASS REPEAT,WAKE UP. KICK,ASS. REPEAT
ST20240517_203047_DISCIPLINE & LIMITLESS ITS A LIFESTYLE,DISCIPLINE &,LIMITLESS IT'S A LIFESTYLE
ST20240517_203048_DISCIPLINE BEATS MOTIVATION,DISCIPLINE,BEATS MOTIVATION
ST20240517_203049_DISCIPLINE EQUALS FREEDOM,DISCIPLINE,EQUALS FREEDOM
ST20240517_203050_ALL BEHAVIOR IS A FORM OF COMMUNICATION,ALL BEHAVIOR IS A,FORM OF COMMUNICATION
ST20240517_203051_DRINK COFFEE AND PRETEND YOU KNOW WHAT YOURE DOING,DRINK COFFEE AND PRETEND,YOU KNOW WHAT YOU'RE DOING
ST20240517_203052_DRINK COFFEE AND PRETEND YOU KNOW WHAT YOURE DOING,DRINK COFFEE AND PRETEND,YOU KNOW WHAT YOU'RE DOING
ST20240517_203053_I CAN DO ALL THINGS THROUGH CHRIST WHO STRENGTHENS ME,I CAN DO ALL THINGS THROUGH,CHRIST WHO STRENGTHENS ME
ST20240517_203054_YOU CAN HAVE RESULTS OR EXCUSES NOT BOTH,YOU CAN HAVE RESULTS,"OR EXCUSES, NOT BOTH"
