SKU,Name1,Name2
ST20240508_204159_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240508_204200_I AM VERY STRESSED,I AM VERY,STRESSED
ST20240508_204201_THE HELL I WONT,THE HELL I,WON'T
ST20240508_204202_MY OTHER CAR IS A SLED PULLED BY 58 POSSUMS,MY OTHER CAR IS A SLED,PULLED BY 58 POSSUMS
ST20240508_204203_DONT HONK AT ME ILL CRY,DON'T HONK AT,ME I'LL CRY
ST20240508_204204_LIVE UGLY FAKE YOUR DEATH,LIVE UGLY FAKE,YOUR DEATH
ST20240508_204205_WARNING DRIVER IS FERAL,WARNING,DRIVER IS FERAL
ST20240508_204206_SURVIVING PURELY OUT OF SPITE,SURVIVING PURELY,OUT OF SPITE
ST20240508_204207_GOD IS TESTING ME AND I HAVE NOT STUDIED,GOD IS TESTING ME AND,I HAVE NOT STUDIED
