SKU,Name1,Name2
ST7x520240429_171529_WORLDS OKAYEST BROTHER,WORLD'S,OKAYEST BROTHER
ST7x520240429_171530_WORLDS OKAYEST FIREFIGHTER,WORLD'S OKAYEST,FIREFIGHTER
ST7x520240429_171531_YOU ARE NOT IMMUNE TO PROPAGANDA,YOU ARE NOT IMMUNE,TO PROPAGANDA
ST7x520240429_171532_KEEP YOUR HEELS HEAD AND STANDARDS HIGH,"KEEP YOUR HEELS, HEAD,",AND STANDARDS HIGH.
ST7x520240429_171533_PIRATE OF THE CAR I BE IN,PIRATE OF THE,CAR I BE IN
ST7x520240429_171534_HONK IF YOU LOVE DYING AND BEING DEAD,HONK IF YOU LOVE,DYING AND BEING DEAD
ST7x520240429_171535_YOU CAN NEVER HAVE TOO MANY SANCTUARY,YOU CAN NEVER HAVE,TOO MANY SANCTUARY
ST7x520240429_171536_IM TIRED OF THIS GRANDPA,I'M TIRED OF,THIS GRANDPA
ST7x520240429_171537_SPEAK SOFTLY AND CARRY A BIG STICK,SPEAK SOFTLY AND,CARRY A BIG STICK
ST7x520240429_171538_THATS WHAT SHE SAID,THAT'S WHAT,SHE SAID
ST7x520240429_171539_IM SO SORRY IM DOING MY BEST,I'M SO SORRY I'M,DOING MY BEST
ST7x520240429_171540_TOGETHER WE WILL MAKE AMERICA GREAT AGAIN,TOGETHER WE WILL MAKE,AMERICA GREAT AGAIN
ST7x520240429_171541_I LIKE BIG BOOKS AND I CANNOT LIE,I LIKE BIG BOOKS,AND I CANNOT LIE
ST7x520240429_171542_NOTHING BUT THE RAIN,NOTHING BUT,THE RAIN
ST7x520240429_171543_DON'T BE SO HARD ON YOURSELF,DON'T BE SO,HARD ON YOURSELF
ST7x520240429_171544_DONT FOLLOW ME I DO STUPID THINGS,DON'T FOLLOW ME I,DO STUPID THINGS
ST7x520240429_171545_WORLDS OKAYEST IT SUPPORT,WORLD'S OKAYEST,IT SUPPORT
ST7x520240429_171546_PLEASE BE PATIENT BLONDE DRIVER,PLEASE BE PATIENT,BLONDE DRIVER
ST7x520240429_171547_YOU MY FRIEND SHOULD HAVE BEEN SWALLOWED,YOU MY FRIEND SHOULD,HAVE BEEN SWALLOWED
ST7x520240429_171548_WORLDS OKAYEST ELECTRICIAN,WORLD'S OKAYEST,ELECTRICIAN
